,species,Katz_in_P,Katz_out_P
0,Diomus,4.886617292667598,2.3163429620282256
1,"(Azteca,Azya orbigera)",4.528121355658488,2.3163429620282256
2,"(Azya orbigera,Scale)",3.947014700064682,3.4077500790865756
3,Wasamannia auropunctata,7.540898307395823,10.979947997899703
4,"(Azteca,(Parasites 1,Scale))",4.528121355658488,1.9824227002362722
5,White Halo Fungus,2.9028735888345043,2.6254777230129616
6,Mycodiplosis,1.6681996255970444,1.64305502277669
7,Solenopsis geminata,6.146200513141461,8.04841334238418
8,"(Scale,Diomus)",7.787340435676161,1.6677801642187973
9,"(White Halo Fungus,Scale)",3.478470862464899,3.4077500790865756
10,Leaf Miner,5.594076437134619,6.0180471599240235
11,"(Azteca,(Scale,Azya orbigera))",4.528121355658488,1.6677801642187977
12,Pseudomyrmex,13.322848323325239,14.67125757658902
13,"(Azteca,Pseudomyrmex)",4.528121355658488,5.229587308268175
14,Scale,5.692656225741464,8.351812840292359
15,Berry Borer,15.673725778589993,26.222649104982622
16,Parasites 2,2.13788768234705,1.6677801642187975
17,Azya orbigera,5.694249905509916,4.5660262449940525
18,"(Azteca,(Azya orbigera,Scale))",4.528121355658488,1.982422700236272
19,"(Azya orbigera,Parasites 2)",3.947014700064682,1.480805532772962
20,Linyphiidae,3.6426774384200575,2.330255062633167
21,"(Parasites 1,Linyphiidae)",4.638588908274166,1.6717908936223835
22,"(Azteca,(Scale,Parasites 1))",4.528121355658488,1.49310949136258
23,Azteca,7.763607508100873,31.223655207537547
24,Pheidole synanthropica,17.850732888639058,24.4489781426752
25,"(Phorid,Linyphiidae)",4.528121355658488,1.6717908936223833
26,"(Pseudomyrmex,Berry Borer)",7.0790293875879655,8.559746208844794
27,Solenopsis picea,7.014824393311281,8.395004345964155
28,"(Linyphiidae,Parasites 1)",4.288326020618584,1.7104591616063427
29,"(Parasites 2,Azya orbigera)",2.921748498843014,2.3163429620282256
30,Coffee Rust,2.317797956446161,2.2305783490113384
31,"(Scale,Azteca)",7.787340435676159,10.001489824176762
32,"(Linyphiidae,Phorid)",4.288326020618584,2.9038242764730766
33,"(Scale,Pheidole synanthropica)",4.879315866977033,8.04841334238418
34,Parasites 1,4.857641610992965,2.464384489048892
35,Phorid,4.474460510767937,6.603834914602205
36,"(Scale,Azya orbigera)",3.9465552569878426,2.316342962028225
37,Parasites 3,2.6127202849837485,2.7349471069740328
38,"(Scale,White Halo Fungus)",4.282739288146233,1.7569008448952763
39,"(Parasites 1,Scale)",8.852028811426436,3.407750079086576
40,"(Azteca,(Parasites 2,Azya orbigera))",4.528121355658489,1.6677801642187977
41,Pheidole protensa,10.664790094186277,15.608159551228976
42,"(Scale,Parasites 1)",9.092755770129305,1.7104591616063425
43,"(Berry Borer,Pseudomyrmex)",7.75676552548715,5.229587308268174
44,"(Azteca,(Azya orbigera,Parasites 2))",4.528121355658488,1.426902482948975
