,species,Katz_in_H,Katz_out_H,Katz_in_P,Katz_out_P,Katz_in_G,Katz_out_G
0,Azteca,6.647544313613365,26.676726156765863,7.763607508100873,31.223655207537547,11.072342075868743,49.50358471905896
1,Azya orbigera,16.170516232611273,10.504821397520328,5.694249905509916,4.5660262449940525,15.883350628435577,13.795258677234196
2,Berry Borer,4.970592168493175,5.926843865292315,15.673725778589993,26.222649104982622,18.120281930632203,26.083727209038898
3,Coffee Rust,1.8891437329848628,1.6418743230294188,2.317797956446161,2.2305783490113384,3.924623723815216,3.985583059773703
4,Diomus,7.838442823413557,2.116987586380497,4.886617292667598,2.3163429620282256,10.618024345382459,4.252463108637213
5,Leaf Miner,1.7460442613241742,1.492906515779102,5.594076437134619,6.0180471599240235,6.145577353600856,5.661580125203983
6,Linyphiidae,6.229033551578057,5.368211614473827,3.6426774384200575,2.330255062633167,8.171447211596686,6.711478607044143
7,Mycodiplosis,1.2008744383917564,1.1745820483586376,1.6681996255970444,1.64305502277669,2.247750462302352,2.2601312212185545
8,Parasites 1,14.202582635872663,9.516428285356733,4.857641610992965,2.464384489048892,11.866189893743924,8.555766995468236
9,Parasites 2,7.969461228417188,4.350962759141493,2.13788768234705,1.6677801642187975,6.274451152262882,4.2524631086372136
10,Parasites 3,1.1856585363393588,1.1587421606373476,2.6127202849837485,2.7349471069740328,2.6988231490713424,2.60052396475978
11,Pheidole protensa,2.4066783571673427,2.521948430854328,10.664790094186277,15.608159551228976,9.861081454786968,12.46552291644662
12,Pheidole synanthropica,8.258655037094453,8.386472269373169,17.850732888639058,24.4489781426752,21.07127374999807,25.931357555718048
13,Phorid,3.7383573858525194,11.024213077236778,4.474460510767937,6.603834914602205,7.026260350802948,15.128039973566903
14,Pseudomyrmex,5.830589285403018,3.4768464323496446,13.322848323325239,14.67125757658902,18.198646983792578,15.913881458702448
15,Scale,19.94182387811879,17.339294446556814,5.692656225741464,8.351812840292359,16.539097796789456,26.053079892264318
16,Solenopsis geminata,1.8781505946222734,1.8917415217192868,6.146200513141461,8.04841334238418,5.730211956621974,6.7172884226804355
17,Solenopsis picea,1.8028857833685563,1.560683314760531,7.014824393311281,8.395004345964155,7.020647187255706,6.879267250034118
18,Wasamannia auropunctata,1.7202303116393276,1.796155840857971,7.540898307395823,10.979947997899703,7.007418150229071,8.596069071262235
19,White Halo Fungus,7.161166667183041,4.861989177045667,2.9028735888345043,2.6254777230129616,7.7143756110703965,8.002141286282413
