,species,Katz_in_H,Katz_out_H,Katz_in_P,Katz_out_P,Katz_in_G,Katz_out_G
0,Azteca,6.647544313613365,26.676726156765863,7.763607508100819,31.223655207537963,11.072342075868576,49.50358471906251
1,Azya orbigera,16.170516232611273,10.504821397520328,5.69424990550989,4.566026244994082,15.883350628435345,13.795258677235124
2,Berry Borer,4.970592168493175,5.926843865292315,15.673725778589876,26.222649104983034,18.120281930631926,26.08372720904097
3,Coffee Rust,1.8891437329848628,1.6418743230294188,2.317797956446157,2.2305783490113456,3.9246237238151864,3.9855830597738615
4,Diomus,7.838442823413557,2.116987586380497,4.886617292667571,2.316342962028236,10.618024345382297,4.25246310863745
5,Leaf Miner,1.7460442613241742,1.492906515779102,5.594076437134586,6.018047159924106,6.145577353600783,5.661580125204312
6,Linyphiidae,6.229033551578057,5.368211614473827,3.64267743842004,2.330255062633174,8.171447211596577,6.711478607044512
7,Mycodiplosis,1.2008744383917564,1.1745820483586376,1.6681996255970433,1.6430550227766927,2.2477504623023425,2.260131221218602
8,Parasites 1,14.202582635872663,9.516428285356733,4.857641610992937,2.4643844890489035,11.866189893743744,8.555766995468822
9,Parasites 2,7.969461228417188,4.350962759141493,2.1378876823470443,1.6677801642188017,6.274451152262797,4.252463108637449
10,Parasites 3,1.1856585363393588,1.1587421606373476,2.6127202849837374,2.73494710697406,2.6988231490713233,2.600523964759868
11,Pheidole protensa,2.4066783571673427,2.521948430854328,10.664790094186195,15.608159551229228,9.86108145478682,12.465522916447615
12,Pheidole synanthropica,8.258655037094453,8.386472269373169,17.85073288863892,24.448978142675582,21.071273749997754,25.931357555720016
13,Phorid,3.7383573858525194,11.024213077236778,4.474460510767912,6.603834914602247,7.026260350802856,15.12803997356772
14,Pseudomyrmex,5.830589285403018,3.4768464323496446,13.322848323325143,14.671257576589255,18.198646983792315,15.91388145870365
15,Scale,19.94182387811879,17.339294446556814,5.692656225741436,8.351812840292453,16.5390977967892,26.05307989226628
16,Solenopsis geminata,1.8781505946222734,1.8917415217192868,6.1462005131414195,8.0484133423843,5.730211956621895,6.717288422680923
17,Solenopsis picea,1.8028857833685563,1.560683314760531,7.014824393311236,8.395004345964285,7.020647187255617,6.879267250034575
18,Wasamannia auropunctata,1.7202303116393276,1.796155840857971,7.5408983073957705,10.979947997899878,7.007418150228979,8.59606907126286
19,White Halo Fungus,7.161166667183041,4.861989177045667,2.902873588834496,2.625477723012975,7.714375611070297,8.002141286282946
